no,TI,ID
1,"CONSIDERATIONS FOR PRACTICE-BASED RESEARCH: A CROSS-SECTIONAL SURVEY OF CHIROPRACTIC, ACUPUNCTURE AND MASSAGE PRACTICES",acupuncture;article;chiropractic;controlled study;cross-sectional study;geographic distribution;health personnel attitude;human;massage;medical service;physiotherapist;telephone interview;united states;acupuncture;adult;alternative medicine;chiropractic;female;health care delivery;male;methodology;physiotherapy;professional practice;questionnaire;acupuncture;acupuncture therapy;adult;chiropractic;complementary therapies;cross-sectional studies;delivery of health care;female;humans;male;manipulation;chiropractic;massage;physical therapy specialty;professional practice;research design;surveys and questionnaires;united states
2,THE EFFECT OF AROMA HAND MASSAGE THERAPY FOR PEOPLE WITH DEMENTIA,antidepressant agent;essential oil;hypnotic agent;mood stabilizer;neuroleptic agent;vegetable oil;essential oil;vegetable oil;aged;alzheimer disease;aroma hand massage therapy;aromatherapy;article;clinical article;cognitive defect;cohen mansfield agitation inventory;comfort;controlled study;cornell scale for depression in dementia;crossover procedure;daily life activity;demented elderly scale;dementia;dementia assessment;female;frontotemporal dementia;human;icd-10;japan;massage;mini mental state examination;mood;multiinfarct dementia;neuropsychiatric inventory brief questionnaire;nonverbal communication;nursing home;personal experience;priority journal;quantitative analysis;randomized controlled trial;therapy effect;verbal behavior;verbal communication;aromatherapy;complication;dementia;male;massage;procedures;psychomotor agitation;treatment outcome;activities of daily living;aged;aromatherapy;cross-over studies;dementia;female;humans;japan;male;massage;oils;volatile;plant oils;psychomotor agitation;treatment outcome
3,"BLENDED INFANT MASSAGE-PARENTING ENHANCEMENT PROGRAM ON RECOVERING SUBSTANCE-ABUSING MOTHERS' PARENTING STRESS, SELF-ESTEEM, DEPRESSION, MATERNAL ATTACHMENT, AND MOTHER-INFANT INTERACTION",abidin parenting stress index;adult;article;beck depression inventory;behavior assessment;controlled study;depression;drug dependence treatment;emotional attachment;female;human;infant;infant massage parenting enhancement program;major clinical study;male;massage;mental health;mother child relation;muller maternal attachment inventory;observation checklist on maternal infant interaction;outpatient care;parental stress;priority journal;psychoeducation;randomized controlled trial;rosenberg self-esteem scale;self esteem;stress assessment;structured interview;substance abuse;waist hip ratio;child parent relation;comparative study;depressive disorder;education;florida;maternal behavior;mental stress;mother;mother child relation;newborn;program evaluation;psychology;self concept;substance-related disorders;young adult;adult;depressive disorder;female;florida;humans;infant;infant;newborn;male;massage;maternal behavior;mother-child relations;mothers;parenting;program evaluation;self concept;stress;psychological;substance-related disorders;young adult
4,EFFECTS OF MASSAGE THERAPY ON PAIN AND ANXIETY ARISING FROM INTRATHECAL THERAPY OR BONE MARROW ASPIRATION IN CHILDREN WITH CANCER,adolescent;adverse effects;anxiety;bone marrow examination;child;complication;controlled clinical trial;controlled study;female;human;intraspinal drug administration;male;massage;neoplasms;pain;preschool child;prevention and control;psychology;adolescent;anxiety;bone marrow examination;child;child;preschool;female;humans;infusions;spinal;injections;spinal;male;massage;neoplasms;pain
5,COMPARISON OF THE EFFECT OF MASSAGE THERAPY AND ISOMETRIC EXERCISES ON PRIMARY DYSMENORRHEA: A RANDOMIZED CONTROLLED CLINICAL TRIAL,lavender oil;essential oil;vegetable oil;adult;anxiety;article;comparative effectiveness;controlled study;disease duration;dysmenorrhea;female;human;isometric exercise;major clinical study;massage;pain assessment;pain intensity;priority journal;questionnaire;randomized controlled trial;therapy effect;treatment duration;university student;visual analog scale;young adult;comparative study;dysmenorrhea;exercise;kinesiotherapy;massage;pain measurement;procedures;treatment outcome;anxiety;dysmenorrhea;exercise;exercise therapy;female;humans;massage;oils;volatile;pain measurement;plant oils;surveys and questionnaires;treatment outcome;young adult
6,EVALUATION OF PERIPHERAL PERFUSION IN TERM NEWBORNS BEFORE AND AFTER YINTANG (EX-HN 3) MASSAGE,oxygen;acupressure;acupuncture;evaluation study;female;heart rate;human;infant;male;massage;metabolism;procedures;skin;vascularization;acupressure;acupuncture points;female;heart rate;humans;infant;male;massage;oxygen;skin
7,EFFECTS OF SLOW-STROKE BACK MASSAGE ON CHEMOTHERAPY-INDUCED NAUSEA AND VOMITING IN THE PEDIATRICS WITH ACUTE LEUKEMIA: A CHALLENGE OF CONTROLLING SYMPTOMS,
8,EFFECTS OF INFANT MASSAGE ON JAUNDICED NEONATES UNDERGOING PHOTOTHERAPY,bilirubin;bilirubin;article;body weight;child health;child hospitalization;controlled study;defecation;female;hospital admission;human;infant;infant feeding;infant massage;major clinical study;male;massage;newborn;newborn jaundice;phototherapy;randomized controlled trial;blood;follow up;jaundice;neonatal;massage;newborn;phototherapy;procedures;retrospective study;bilirubin;female;follow-up studies;humans;infant;newborn;jaundice;neonatal;male;massage;phototherapy;retrospective studies
9,"CANNABINOIDS FOR CHRONIC PAIN, MEDITERRANEAN DIET AND COGNITIVE FUNCTION, VITAMIN E AND SELENIUM FOR CATARACT PREVENTION, ACUPUNCTURE AND MOXIBUSTION FOR PRIMARY DYSMENORRHEA, MASSAGE THERAPY AND IN VITRO FERTILIZATION",alpha tocopherol;cannabinoid;selenium;acupuncture;article;cataract;chemotherapy induced nausea and vomiting;chronic pain;cognition;dysmenorrhea;embryo transfer;fertilization in vitro;human;massage;mediterranean diet;moxibustion;multiple sclerosis;priority journal;risk reduction;spasticity;treatment outcome;vitamin supplementation
10,BRUISING CAUSED BY TRADITIONAL CHINESE MASSAGE THERAPY (BA SHA) COMPLICATING THE ASSESSMENT OF A CASE OF FATAL CHILD ABUSE,article;awareness;case report;child;child abuse;chinese medicine;death;fatality;fever;forensic medicine;human;male;massage;police;preschool child;rural population;skin bruising;strangulation;vomiting;asphyxia;child abuse;china;chinese medicine;contusions;diagnosis;forensic pathology;neck injuries;pathology;asphyxia;child abuse;child;preschool;china;contusions;forensic pathology;humans;male;massage;medicine;chinese traditional;neck injuries
